CBFV,"CB Financial Services, Inc"
CBOE,"Cboe Global Markets, Inc"
CBTX,"CBTX, Inc"
PRPB,CC Neuberger Principal Holdings II Class A
PRPC,CC Neuberger Principal Holdings III - Class A
CET,Central Securities Corp
CVCY,Central Valley Community Bancorp
CFVI,CF Acquisition Corp VI - Class A
CNTQ,Chardan NexTech Acquisition 2 Corp
CHMG,Chemung Financial Corporation
JRJC,China Finance Online Co. Limited
CB,Chubb Limited
CVII,Churchill Capital Corp VII - Class A
CIXX,CI Financial Corp.
CION,CION Invt Corp
CIFR,Cipher Mining Inc
C,Citigroup Inc
CZWI,"Citizens Community Bancorp, Inc"
CFG,"Citizens Financial Group, Inc"
CZNC,Citizens & Northern Corporation
CHCO,City Holding Company
CME,CME Group Inc
CNA,CNA Financial Corporation
CCNE,CNB Financial Corporation
CNF,CNFinance Holdings Limited
CNO,"CNO Financial Group, Inc"
CCB,Coastal Financial Corporation
CVLY,"Codorus Valley Bancorp, Inc"
CNS,"Cohen & Steers, Inc"
COLB,"Columbia Banking System, Inc"
CLBK,"Columbia Financial, Inc"
CMA,Comerica Incorporated
CBSH,"Commerce Bancshares, Inc"
CBU,"Community Bank System, Inc"
CDAQ,Compass Digital Acquisition Corp - Class A
CND,Concord Acquisition Corp - Class A
CONX,CONX Corp - Class A
CPAA,Conyers Park II Acquisition Corp
CRD.A,Crawford & Company
BAP,Credicorp Ltd
CCAP,Crescent Capital BDC Inc.
CFB,"CrossFirst Bankshares, Inc"
CFR,"Cullen/Frost Bankers, Inc"
CURO,CURO Group Holdings Corp
CUBI,"Customers Bancorp, Inc"
CVBF,CVB Financial Corp
DCRD,Decarbonization Plus Acquisition Corporation IV - Class A
DLCA,Deep Lake Capital Acquisition Corp - Class A
DB,Deutsche Bank Aktiengesellschaft
DHBC,DHB Capital Corp - Class A
DHIL,"Diamond Hill Investment Group, Inc"
EQOS,Diginex Limited
DWAC,Digital World Acquisition Corp - Class A
DCOM,"Dime Community Bancshares, Inc"
XPOA,DPCM Capital Inc - Class A
DSAC,Duddell Street Acquisition Corp - Class A
DUNE,Dune Acquisition Corporation - Class A
KTF,DWS Municipal Income Trust
DYNS,Dynamics Special Purpose Corp Class A
CEV,Eaton Vance California Municipal Income Trust
EFT,Eaton Vance Floating-Rate Income Trust
EFR,Eaton Vance Senior Floating-Rate Trust
ADOC,Edoc Acquisition Corp - Class A
EJFA,EJF Acquisition Corp - Class A
EOCW,Elliott Opportunity II Corp - Class A
ECF,Ellsworth Growth and Income Fund Ltd
EPWR,Empowerment & Inclusion Capital I Corp - Class A
ESGR,Enstar Group Limited
EBTC,"Enterprise Bancorp, Inc"
EFSC,Enterprise Financial Services Corp
EPHY,Epiphany Technology Acquisition Corp - Class A
EQBK,"Equity Bancshares, Inc"
EQS,"Equus Total Return, Inc"
ERIE,Erie Indemnity Company
ESQ,"Esquire Financial Holdings, Inc"
ESNT,Essent Group Ltd
EVR,Evercore Inc
RE,"Everest Re Group, Ltd"
FANH,Fanhua Inc
FMAO,"Farmers & Merchants Bancorp, Inc"
FMNB,Farmers National Banc Corp
FBK,FB Financial Corporation
AGM,Federal Agricultural Mortgage Corporation
FHI,Federated Hermes Inc. Class B
FNHC,FedNat Holding Company
FGF,FG Financial Group Inc
FDBC,"Fidelity D & D Bancorp, Inc"
FNF,"Fidelity National Financial, Inc"
FWAC,Fifth Wall Acquisition Corp III - Class A
FOA,Finance of America Companies Inc
FISI,"Financial Institutions, Inc"
FTCV,FinTech Acquisition Corp V - Class A
FINV,FinVolution Group Sponsored ADR Class A
FINW,FinWise Bancorp
FBNC,First Bancorp
FBP,First BanCorp
FBIZ,"First Business Financial Services, Inc"
FCFS,"FirstCash, Inc"
FCNCA,"First Citizens BancShares, Inc"
FCF,First Commonwealth Financial Corporation
FCBC,"First Community Bankshares, Inc"
FCCO,First Community Corporation
THFF,First Financial Corporation
FFWM,First Foundation Inc
FGBI,"First Guaranty Bancshares, Inc"
FHB,"First Hawaiian, Inc"
FHN,First Horizon National Corporation
INBK,First Internet Bancorp
FIBK,"First Interstate BancSystem, Inc"
FMAC,FirstMark Horizon Acquisition Corp. Class A
FMBH,"First Mid Bancshares, Inc"
FMBI,"First Midwest Bancorp, Inc"
FNWB,First Northwest Bancorp
FUNC,First United Corporation
FBC,"Flagstar Bancorp, Inc"
FLME,Flame Acquisition Corp - Class A
FFIC,Flushing Financial Corporation
FNB,F.N.B. Corporation
FOCS,Focus Financial Partners Inc
FIAC,Focus Impact Acquisition Corp - Class A
FSSI,Fortistar Sustainable Solutions Corp - Class A
FOUN,Founder SPAC - Class A
FTAA,FTAC Athena Acquisition Corp - Class A
FULT,Fulton Financial Corporation
FUTU,Futu Holdings Ltd. Sponsored ADR Class A
FVCB,"FVCBankcorp, Inc"
GBL,"GAMCO Investors, Inc"
GNT,"GAMCO Natural Resources, Gold & Income Trust"
GCMG,GCM Grosvenor Inc. Class A
GAM,"General American Investors Company, Inc"
GNW,"Genworth Financial, Inc"
GABC,"German American Bancorp, Inc"
GBCI,"Glacier Bancorp, Inc"
GLAD,Gladstone Capital Corporation
GAIN,Gladstone Investment Corporation
GL,Globe Life Inc
GOBI,Gobi Acquisition Corp Class A
GOCO,GoHealth Inc Class A
GFX,Golden Falcon Acquisition Corp - Class A
GBDC,"Golub Capital BDC, Inc"
GGPI,Gores Guggenheim Inc - Class A
GIIX,Gores Holdings VIII Inc - Class A
GSEV,Gores Holdings VII Inc - Class A
GRAB,Grab Holdings Limited - Class A
GECC,Great Elm Capital Corporation
GDOT,Green Dot Corporation
GCBC,"Greene County Bancorp, Inc"
GHL,"Greenhill & Co., Inc"
GREE,Greenidge Generation Holdings Inc - Class A
GLRE,"Greenlight Capital Re, Ltd"
GNAC,Group Nine Acquisition Corp - Class A
GGAL,Grupo Financiero Galicia S.A
SUPV,Grupo Supervielle S.A
GNTY,"Guaranty Bancshares, Inc"
GFED,"Guaranty Federal Bancshares, Inc"
GBAB,Guggenheim Taxable Municipal Managed Duration Trust
GHLD,Guild Holdings Co. Class A
HGTY,Hagerty Inc - Class A
HLNE,Hamilton Lane Incorporated
HWC,Hancock Whitney Corporation
HCI,"HCI Group, Inc"
HDB,HDFC Bank Limited
HAAC,Health Assurance Acquisition Corp - Class A
HCCC,Healthcare Capital Corp - Class A
HTLF,"Heartland Financial USA, Inc"
HNNA,"Hennessy Advisors, Inc"
HCIC,Hennessy Capital Investment Corp V - Class A
HTGC,"Hercules Capital, Inc"
HTBK,Heritage Commerce Corp
HFWA,Heritage Financial Corporation
HTH,Hilltop Holdings Inc
HIFS,Hingham Institution for Savings
HIPO,Hippo Holdings Inc
HIVE,HIVE Blockchain Technologies Ltd
HBCP,"Home Bancorp, Inc"
HOMB,"Home Bancshares, Inc. (Conway, AR)"
HMST,"HomeStreet, Inc"
HOPE,"Hope Bancorp, Inc"
HMN,Horace Mann Educators Corporation
HZON,Horizon Acquisition Corp II - Class A
HBNC,"Horizon Bancorp, Inc"
HLI,"Houlihan Lokey, Inc"
HBMD,"Howard Bancorp, Inc"
HUSN,Hudson Capital Inc.
HIII,Hudson Executive Investment Corp III - Class A
HUIZ,Huize Holding Ltd. Sponsored ADR Class A
HBAN,Huntington Bancshares Incorporated
HUT,Hut 8 Mining Corp
IBN,ICICI Bank Limited
IHC,Independence Holding Company
ACQR,Independence Holdings Corp - Class A
INDB,Independent Bank Corp
IBCP,Independent Bank Corporation
ING,ING Groep N.V
ICE,"Intercontinental Exchange, Inc"
IFS,Intercorp Financial Services Inc
IMAQ,International Media Acquisition Corp
OIA,Invesco Municipal Income Opportunities Trust
IQI,Invesco Quality Municipal Income Trust
VTN,Invesco Trust for Investment Grade New York Municipals
ISTR,Investar Holding Corporation
ITHX,ITHAX Acquisition Corp - Class A
IVAN,Ivanhoe Capital Acquisition Corp - Class A
JXN,Jackson Financial Inc - Class A
JATT,JATT Acquisition Corp - Class A
JYAC,Jiya Acquisition Corp. Class A
JP,Jupai Holdings Limited
JAQC,Jupiter Acquisition Corp
KAIR,Kairos Acquisition Corp - Class A
KYN,Kayne Anderson MLP/Midstream Investment Company
KB,KB Financial Group Inc
KRNY,Kearny Financial Corp
Ticker,Company_Name
BCOW,"1896 Bancorp of Wisconsin, Inc"
SRCE,1st Source Corporation
QFIN,"361 Finance, Inc"
FCO,"Aberdeen Global Income Fund, Inc"
ABGI,ABG Acquisition Corp I - Class A
ACEV,ACE Convergence Acquisition Corp Class A
ACNB,ACNB Corporation
AMPI,Advanced Merger Partners Inc - Class A
IMPX,AEA-Bridges Impact Corp - Class A
AEHA,Aesther Healthcare Acquisition Corp - Class A
AMG,"Affiliated Managers Group, Inc"
AFBI,Affinity Bancshares Inc
ALRS,Alerus Financial Corporation
Y,Alleghany Corporation
ABTX,"Allegiance Bancshares, Inc"
AB,AllianceBernstein Holding L.P
ADS,Alliance Data Systems Corporation
ALLY,Ally Financial Inc
ALCC,AltC Acquisition Corp - Class A
ASPS,Altisource Portfolio Solutions S.A
ALTU,Altitude Acquisition Corp - Class A
AMAL,Amalgamated Bank
AMRK,"A-Mark Precious Metals, Inc"
AMBC,"Ambac Financial Group, Inc"
AMTB,Amerant Bancorp Inc
ATAX,"America First Multifamily Investors, L.P"
AXP,American Express Company
AFG,"American Financial Group, Inc"
AIG,"American International Group, Inc"
AMNB,American National Bankshares Inc
ANAT,American National Insurance Company
AMSF,"Amerisafe, Inc"
ABCB,Ameris Bancorp
HKIB,AMTD International Inc
ANZU,Anzu Special Acquisition Corp I - Class A
AON,Aon plc
APO,"Apollo Global Management, Inc"
ACGL,Arch Capital Group Ltd
AAC,Ares Acquisition Corporation - Class A
ARES,Ares Management Corporation
ARGO,"Argo Group International Holdings, Ltd"
AJG,Arthur J. Gallagher & Co
APAM,Artisan Partners Asset Management Inc
ARYD,Arya Sciences Acquisition Corp IV - Class A
AMK,"AssetMark Financial Holdings, Inc"
AC,"Associated Capital Group, Inc"
AIZ,"Assurant, Inc"
AGO,Assured Guaranty Ltd
ACAQ,Athena Consumer Acquisition Corp - Class A
ACBI,"Atlantic Capital Bancshares, Inc"
ATCO,Atlas Corp.
AUS,Austerlitz Acquisition Corp I - Class A
ASZ,Austerlitz Acquisition Corp II - Class A
AVAN,Avanti Acquisition Corporation Class A
AXS,AXIS Capital Holdings Limited
BCSF,"Bain Capital Specialty Finance, Inc"
BANF,BancFirst Corporation
BCH,Banco de Chile
BANC,"Banc of California, Inc"
BLX,"Banco Latinoamericano de Comercio Exterior, S.A"
CIB,Bancolombia S.A
BMA,Banco Macro S.A
BSBR,Banco Santander (Brasil) S.A
BSAC,Banco Santander-Chile
BSMX,"Banco Santander Mexico, S.A., Institucion de Banca Multiple, Grupo Financiero Santander Mexico"
SAN,"Banco Santander, S.A"
BCV,Bancroft Fund Ltd
BAC,Bank of America Corporation
BOH,Bank of Hawaii Corporation
BMRC,Bank of Marin Bancorp
BMO,Bank of Montreal
BOTJ,"Bank of the James Financial Group, Inc"
OZK,Bank OZK
BKU,"BankUnited, Inc"
BANR,Banner Corporation
BNIX,Bannix Acquisition Corp
BHB,Bar Harbor Bankshares
BBDC,"Barings BDC, Inc"
MCI,Barings Corporate Investors
BCML,BayCom Corp
BBAR,BBVA Banco Frances S.A
BCBP,"BCB Bancorp, Inc"
BENE,Benessere Capital Acquisition Corp - Class A
BRK.B,Berkshire Hathaway Inc
BHLB,"Berkshire Hills Bancorp, Inc"
BGCP,"BGC Partners, Inc"
BTBT,Bit Digital Inc
BITF,Bitfarms Ltd.
BME,BlackRock Health Sciences Trust
BLK,"BlackRock, Inc"
BKN,BlackRock Investment Quality Municipal Trust Inc
BLE,BlackRock Municipal Income Trust II
BNY,BlackRock New York Municipal Income Trust
TCPC,BlackRock TCP Capital Corp
BXSL,Blackstone Secured Lending Fund.
BCOR,"Blucora, Inc"
OWL,Blue Owl Capital Inc - Class A
BRBS,Blue Ridge Bankshares Inc.
BOAC,Bluescape Opportunities Acquisition Corp - Class A
LEO,"BNY Mellon Strategic Municipals, Inc"
BOKF,BOK Financial Corporation
BTNB,Bridgetown 2 Holdings Ltd - Class A
BTWN,Bridgetown Holdings Ltd - Class A
BHF,"Brighthouse Financial, Inc"
BLTS,Bright Lights Acquisition Corp - Class A
BSIG,BrightSphere Investment Group Inc
RILY,"B. Riley Financial, Inc"
BRPM,B. Riley Principal 150 Merger Corp - Class A
BRIV,B Riley Principal 250 Merger Corp - Class A
BAM,Brookfield Asset Management Inc
BAMR,"Brookfield Asset Management Reinsurance Partners Ltd (Exchangeable Shares, Sub Voting) - Class A"
BRKL,"Brookline Bancorp, Inc"
BRO,"Brown & Brown, Inc"
BUR,Burford Capital Limited
BFST,"Business First Bancshares, Inc"
CATC,Cambridge Bancorp
CM,Canadian Imperial Bank of Commerce
CBNK,"Capital Bancorp, Inc"
CCBG,"Capital City Bank Group, Inc"
COF,Capital One Financial Corporation
CSWC,Capital Southwest Corporation
CFFN,"Capitol Federal Financial, Inc"
CSTR,"Capstar Financial Holdings, Inc"
CARE,Carter Bank & Trust
CARV,"Carver Bancorp, Inc"
CATY,Cathay General Bancorp
CBFV,"CB Financial Services, Inc"
CBOE,"Cboe Global Markets, Inc"
CBTX,"CBTX, Inc"
PRPB,CC Neuberger Principal Holdings II Class A
PRPC,CC Neuberger Principal Holdings III - Class A
CET,Central Securities Corp
CVCY,Central Valley Community Bancorp
CFVI,CF Acquisition Corp VI - Class A
CNTQ,Chardan NexTech Acquisition 2 Corp
CHMG,Chemung Financial Corporation
JRJC,China Finance Online Co. Limited
CB,Chubb Limited
CVII,Churchill Capital Corp VII - Class A
CIXX,CI Financial Corp.
CION,CION Invt Corp
CIFR,Cipher Mining Inc
C,Citigroup Inc
CZWI,"Citizens Community Bancorp, Inc"
CFG,"Citizens Financial Group, Inc"
CZNC,Citizens & Northern Corporation
CHCO,City Holding Company
CME,CME Group Inc
CNA,CNA Financial Corporation
CCNE,CNB Financial Corporation
CNF,CNFinance Holdings Limited
CNO,"CNO Financial Group, Inc"
CCB,Coastal Financial Corporation
CVLY,"Codorus Valley Bancorp, Inc"
CNS,"Cohen & Steers, Inc"
COLB,"Columbia Banking System, Inc"
CLBK,"Columbia Financial, Inc"
CMA,Comerica Incorporated
CBSH,"Commerce Bancshares, Inc"
CBU,"Community Bank System, Inc"
CDAQ,Compass Digital Acquisition Corp - Class A
CND,Concord Acquisition Corp - Class A
CONX,CONX Corp - Class A
CPAA,Conyers Park II Acquisition Corp
CRD.A,Crawford & Company
BAP,Credicorp Ltd
CCAP,Crescent Capital BDC Inc.
CFB,"CrossFirst Bankshares, Inc"
CFR,"Cullen/Frost Bankers, Inc"
CURO,CURO Group Holdings Corp
CUBI,"Customers Bancorp, Inc"
CVBF,CVB Financial Corp
DCRD,Decarbonization Plus Acquisition Corporation IV - Class A
DLCA,Deep Lake Capital Acquisition Corp - Class A
DB,Deutsche Bank Aktiengesellschaft
DHBC,DHB Capital Corp - Class A
DHIL,"Diamond Hill Investment Group, Inc"
EQOS,Diginex Limited
DWAC,Digital World Acquisition Corp - Class A
DCOM,"Dime Community Bancshares, Inc"
XPOA,DPCM Capital Inc - Class A
DSAC,Duddell Street Acquisition Corp - Class A
DUNE,Dune Acquisition Corporation - Class A
KTF,DWS Municipal Income Trust
DYNS,Dynamics Special Purpose Corp Class A
CEV,Eaton Vance California Municipal Income Trust
EFT,Eaton Vance Floating-Rate Income Trust
EFR,Eaton Vance Senior Floating-Rate Trust
ADOC,Edoc Acquisition Corp - Class A
EJFA,EJF Acquisition Corp - Class A
EOCW,Elliott Opportunity II Corp - Class A
ECF,Ellsworth Growth and Income Fund Ltd
EPWR,Empowerment & Inclusion Capital I Corp - Class A
ESGR,Enstar Group Limited
EBTC,"Enterprise Bancorp, Inc"
EFSC,Enterprise Financial Services Corp
EPHY,Epiphany Technology Acquisition Corp - Class A
EQBK,"Equity Bancshares, Inc"
EQS,"Equus Total Return, Inc"
ERIE,Erie Indemnity Company
ESQ,"Esquire Financial Holdings, Inc"
ESNT,Essent Group Ltd
EVR,Evercore Inc
RE,"Everest Re Group, Ltd"
FANH,Fanhua Inc
FMAO,"Farmers & Merchants Bancorp, Inc"
FMNB,Farmers National Banc Corp
FBK,FB Financial Corporation
AGM,Federal Agricultural Mortgage Corporation
FHI,Federated Hermes Inc. Class B
FNHC,FedNat Holding Company
FGF,FG Financial Group Inc
FDBC,"Fidelity D & D Bancorp, Inc"
FNF,"Fidelity National Financial, Inc"
FWAC,Fifth Wall Acquisition Corp III - Class A
FOA,Finance of America Companies Inc
FISI,"Financial Institutions, Inc"
FTCV,FinTech Acquisition Corp V - Class A
FINV,FinVolution Group Sponsored ADR Class A
FINW,FinWise Bancorp
FBNC,First Bancorp
FBP,First BanCorp
FBIZ,"First Business Financial Services, Inc"
FCFS,"FirstCash, Inc"
FCNCA,"First Citizens BancShares, Inc"
FCF,First Commonwealth Financial Corporation
FCBC,"First Community Bankshares, Inc"
FCCO,First Community Corporation
THFF,First Financial Corporation
FFWM,First Foundation Inc
FGBI,"First Guaranty Bancshares, Inc"
FHB,"First Hawaiian, Inc"
FHN,First Horizon National Corporation
INBK,First Internet Bancorp
FIBK,"First Interstate BancSystem, Inc"
FMAC,FirstMark Horizon Acquisition Corp. Class A
FMBH,"First Mid Bancshares, Inc"
FMBI,"First Midwest Bancorp, Inc"
FNWB,First Northwest Bancorp
FUNC,First United Corporation
FBC,"Flagstar Bancorp, Inc"
FLME,Flame Acquisition Corp - Class A
FFIC,Flushing Financial Corporation
FNB,F.N.B. Corporation
FOCS,Focus Financial Partners Inc
FIAC,Focus Impact Acquisition Corp - Class A
FSSI,Fortistar Sustainable Solutions Corp - Class A
FOUN,Founder SPAC - Class A
FTAA,FTAC Athena Acquisition Corp - Class A
FULT,Fulton Financial Corporation
FUTU,Futu Holdings Ltd. Sponsored ADR Class A
FVCB,"FVCBankcorp, Inc"
GBL,"GAMCO Investors, Inc"
GNT,"GAMCO Natural Resources, Gold & Income Trust"
GCMG,GCM Grosvenor Inc. Class A
GAM,"General American Investors Company, Inc"
GNW,"Genworth Financial, Inc"
GABC,"German American Bancorp, Inc"
GBCI,"Glacier Bancorp, Inc"
GLAD,Gladstone Capital Corporation
GAIN,Gladstone Investment Corporation
GL,Globe Life Inc
GOBI,Gobi Acquisition Corp Class A
GOCO,GoHealth Inc Class A
GFX,Golden Falcon Acquisition Corp - Class A
GBDC,"Golub Capital BDC, Inc"
GGPI,Gores Guggenheim Inc - Class A
GIIX,Gores Holdings VIII Inc - Class A
GSEV,Gores Holdings VII Inc - Class A
GRAB,Grab Holdings Limited - Class A
GECC,Great Elm Capital Corporation
GDOT,Green Dot Corporation
GCBC,"Greene County Bancorp, Inc"
GHL,"Greenhill & Co., Inc"
GREE,Greenidge Generation Holdings Inc - Class A
GLRE,"Greenlight Capital Re, Ltd"
GNAC,Group Nine Acquisition Corp - Class A
GGAL,Grupo Financiero Galicia S.A
SUPV,Grupo Supervielle S.A
GNTY,"Guaranty Bancshares, Inc"
GFED,"Guaranty Federal Bancshares, Inc"
GBAB,Guggenheim Taxable Municipal Managed Duration Trust
GHLD,Guild Holdings Co. Class A
HGTY,Hagerty Inc - Class A
HLNE,Hamilton Lane Incorporated
HWC,Hancock Whitney Corporation
HCI,"HCI Group, Inc"
HDB,HDFC Bank Limited
HAAC,Health Assurance Acquisition Corp - Class A
HCCC,Healthcare Capital Corp - Class A
HTLF,"Heartland Financial USA, Inc"
HNNA,"Hennessy Advisors, Inc"
HCIC,Hennessy Capital Investment Corp V - Class A
HTGC,"Hercules Capital, Inc"
HTBK,Heritage Commerce Corp
HFWA,Heritage Financial Corporation
HTH,Hilltop Holdings Inc
HIFS,Hingham Institution for Savings
HIPO,Hippo Holdings Inc
HIVE,HIVE Blockchain Technologies Ltd
HBCP,"Home Bancorp, Inc"
HOMB,"Home Bancshares, Inc. (Conway, AR)"
HMST,"HomeStreet, Inc"
HOPE,"Hope Bancorp, Inc"
HMN,Horace Mann Educators Corporation
HZON,Horizon Acquisition Corp II - Class A
HBNC,"Horizon Bancorp, Inc"
HLI,"Houlihan Lokey, Inc"
HBMD,"Howard Bancorp, Inc"
HUSN,Hudson Capital Inc.
HIII,Hudson Executive Investment Corp III - Class A
HUIZ,Huize Holding Ltd. Sponsored ADR Class A
HBAN,Huntington Bancshares Incorporated
HUT,Hut 8 Mining Corp
IBN,ICICI Bank Limited
IHC,Independence Holding Company
ACQR,Independence Holdings Corp - Class A
INDB,Independent Bank Corp
IBCP,Independent Bank Corporation
ING,ING Groep N.V
ICE,"Intercontinental Exchange, Inc"
IFS,Intercorp Financial Services Inc
IMAQ,International Media Acquisition Corp
OIA,Invesco Municipal Income Opportunities Trust
IQI,Invesco Quality Municipal Income Trust
VTN,Invesco Trust for Investment Grade New York Municipals
ISTR,Investar Holding Corporation
ITHX,ITHAX Acquisition Corp - Class A
IVAN,Ivanhoe Capital Acquisition Corp - Class A
JXN,Jackson Financial Inc - Class A
JATT,JATT Acquisition Corp - Class A
JYAC,Jiya Acquisition Corp. Class A
JP,Jupai Holdings Limited
JAQC,Jupiter Acquisition Corp
KAIR,Kairos Acquisition Corp - Class A
KYN,Kayne Anderson MLP/Midstream Investment Company
KB,KB Financial Group Inc
KRNY,Kearny Financial Corp
Ticker,Company_Name
BCOW,"1897 Bancorp of Wisconsin, Inc"
SRCE,1st Source Corporation
QFIN,"362 Finance, Inc"
FCO,"Aberdeen Global Income Fund, Inc"
ABGI,ABG Acquisition Corp I - Class A
ACEV,ACE Convergence Acquisition Corp Class A
ACNB,ACNB Corporation
AMPI,Advanced Merger Partners Inc - Class A
IMPX,AEA-Bridges Impact Corp - Class A
AEHA,Aesther Healthcare Acquisition Corp - Class A
AMG,"Affiliated Managers Group, Inc"
AFBI,Affinity Bancshares Inc
ALRS,Alerus Financial Corporation
Y,Alleghany Corporation
ABTX,"Allegiance Bancshares, Inc"
AB,AllianceBernstein Holding L.P
ADS,Alliance Data Systems Corporation
ALLY,Ally Financial Inc
ALCC,AltC Acquisition Corp - Class A
ASPS,Altisource Portfolio Solutions S.A
ALTU,Altitude Acquisition Corp - Class A
AMAL,Amalgamated Bank
AMRK,"A-Mark Precious Metals, Inc"
AMBC,"Ambac Financial Group, Inc"
AMTB,Amerant Bancorp Inc
ATAX,"America First Multifamily Investors, L.P"
AXP,American Express Company
AFG,"American Financial Group, Inc"
AIG,"American International Group, Inc"
AMNB,American National Bankshares Inc
ANAT,American National Insurance Company
AMSF,"Amerisafe, Inc"
ABCB,Ameris Bancorp
HKIB,AMTD International Inc
ANZU,Anzu Special Acquisition Corp I - Class A
AON,Aon plc
APO,"Apollo Global Management, Inc"
ACGL,Arch Capital Group Ltd
AAC,Ares Acquisition Corporation - Class A
ARES,Ares Management Corporation
ARGO,"Argo Group International Holdings, Ltd"
