Ticker,Company_Name
CPRT,"Copart, Inc"
CNM,Core & Main Inc Class A
CNR,"Cornerstone Building Brands, Inc"
CMRE,Costamare Inc
CVLG,Covenant Logistics Group Inc. Class A
CYRX,"Cryoport, Inc"
CMI,Cummins Inc
CW,Curtiss-Wright Corporation
CTOS,Custom Truck One Source Inc
DAC,Danaos Corporation
DSKE,"Daseke, Inc"
DAL,"Delta Air Lines, Inc"
DHX,"DHI Group, Inc"
DCI,"Donaldson Company, Inc"
DOV,Dover Corporation
DCO,Ducommun Incorporated
DXPE,"DXP Enterprises, Inc"
DY,"Dycom Industries, Inc"
EGLE,Eagle Bulk Shipping Inc
KODK,Eastman Kodak Company
EH,EHang Holdings Ltd. ADR Class A
ESLT,Elbit Systems Ltd
ERJ,Embraer S.A
ERII,"Energy Recovery, Inc"
ENG,ENGlobal Corporation
ENVX,Enovix Corporation
NPO,"EnPro Industries, Inc"
EOSE,Eos Energy Enterprises Inc. Class A
EDRY,EuroDry Ltd
ESEA,Euroseas Ltd
EVI,"EVI Industries, Inc"
AQUA,Evoqua Water Technologies Corp
EXPD,"Expeditors International of Washington, Inc"
EXPO,"Exponent, Inc"
FAST,Fastenal Company
FERG,Ferguson Plc.
FA,First Advantage Corp.
FWRD,Forward Air Corporation
FC,Franklin Covey Co
FELE,"Franklin Electric Co., Inc"
RAIL,"FreightCar America, Inc"
ULCC,Frontier Group Holdings Inc
FCN,"FTI Consulting, Inc"
FCEL,"FuelCell Energy, Inc"
GTES,Gates Industrial Corporation plc
GATX,GATX Corporation
GENC,"Gencor Industries, Inc"
GNK,Genco Shipping & Trading Limited
GNRC,Generac Holdings Inc
GD,General Dynamics Corporation
GE,General Electric Company
GFL,GFL Environmental Inc
ROCK,"Gibraltar Industries, Inc"
GIC,Global Industrial Co
GPN,Global Payments Inc
GLBS,Globus Maritime Limited
GMS,GMS Inc
GOGL,Golden Ocean Group Limited
GOL,Gol Linhas Aereas Inteligentes S.A
GGG,Graco Inc
EAF,GrafTech International Ltd
GHM,Graham Corporation
GVA,Granite Construction Incorporated
GLDD,Great Lakes Dredge & Dock Corporation
GFF,Griffon Corporation
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V"
PAC,"Grupo Aeroportuario del Pacifico, S.A.B. de C.V"
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V"
GFAI,Guardforce AI Co Ltd
GXO,GXO Logistics Inc
HAYN,"Haynes International, Inc"
HHR,HeadHunter Group PLC
HTLD,"Heartland Express, Inc"
HEES,"H&E Equipment Services, Inc"
HEI.A,HEICO Corporation
HEI,HEICO Corporation
HLIO,"Helios Technologies, Inc"
HCCI,"Heritage-Crystal Clean, Inc"
HTZ,"Hertz Global Holdings, Inc"
HXL,Hexcel Corporation
HIHO,Highway Holdings Limited
HI,"Hillenbrand, Inc"
HLMN,Hillman Solutions Corp - Class A
HRT,HireRight Holdings Corp
HNI,HNI Corporation
HOLI,Hollysys Automation Technologies Ltd
HON,Honeywell International Inc
HUBB,Hubbell Incorporated
HUBG,"Hub Group, Inc"
HSON,"Hudson Global, Inc"
HII,"Huntington Ingalls Industries, Inc"
HBP,"Huttig Building Products, Inc"
HYFM,Hydrofarm Holdings Group Inc
HYRE,HyreCar Inc
HY,"Hyster-Yale Materials Handling, Inc"
IAA,"IAA, Inc"
IEP,Icahn Enterprises L.P
ICFI,"ICF International, Inc"
IPWR,Ideal Power Inc
IDEX,"Ideanomics, Inc"
IEX,IDEX Corporation
IESC,"IES Holdings, Inc"
INFO,IHS Markit Ltd
ITW,Illinois Tool Works Inc
IGC,"India Globalization Capital, Inc"
IEA,"Infrastructure and Energy Alternatives, Inc"
IR,Ingersoll-Rand Plc
VATE,Innovate Corp
ISSC,"Innovative Solutions and Support, Inc"
NSP,"Insperity, Inc"
IVAC,"Intevac, Inc"
ITT,ITT Inc
J,Jacobs Engineering Group Inc.
JAN,JanOne Inc
JBI,Janus International Group Inc - Class A
JBHT,"J.B. Hunt Transport Services, Inc"
JBLU,JetBlue Airways Corporation
JOBY,Joby Aviation Inc - Class A
JBT,John Bean Technologies Corporation
BZ,Kanzhun Ltd - ADR
KBR,"KBR, Inc"
KIQ,Kelso Technologies Inc
KMT,Kennametal Inc
KNX,Knight-Swift Transportation Holdings Inc
KNOP,KNOT Offshore Partners LP
KRNT,Kornit Digital Ltd
KTOS,"Kratos Defense & Security Solutions, Inc"
LHX,"L3Harris Technologies, Inc"
SWIM,Latham Group Inc
LAWS,"Lawson Products, Inc"
LII,Lennox International Inc
LICY,Li-Cycle Holdings Corp - Class A
LMB,"Limbach Holdings, Inc"
LECO,"Lincoln Electric Holdings, Inc"
LNN,Lindsay Corporation
LIQT,"LiqTech International, Inc"
LMT,Lockheed Martin Corporation
TUSK,"Mammoth Energy Services, Inc"
MAN,ManpowerGroup Inc
MRTN,"Marten Transport, Ltd"
MAS,Masco Corporation
DOOR,Masonite International Corporation
MTZ,"MasTec, Inc"
MTRX,Matrix Service Company
MATX,"Matson, Inc"
MATW,Matthews International Corporation
MEC,"Mayville Engineering Company, Inc"
MDU,"MDU Resources Group, Inc"
MRCY,"Mercury Systems, Inc"
MESA,"Mesa Air Group, Inc"
MVST,Microvast Holdings Inc
YGMZ,MingZhu Logistics Holdings Ltd
MNTS,Momentus Inc - Class A
MOG.A,Moog Inc
MSA,MSA Safety Incorporated
NSSC,"Napco Security Technologies, Inc"
NLSN,Nielsen Holdings plc
NL,"NL Industries, Inc"
NDSN,Nordson Corporation
NSC,Norfolk Southern Corporation
OP,OceanPal Inc
OPTT,"Ocean Power Technologies, Inc"
ODFL,"Old Dominion Freight Line, Inc"
OESX,"Orion Energy Systems, Inc"
ORN,"Orion Group Holdings, Inc"
OSK,Oshkosh Corporation
PCAR,PACCAR Inc
PAE,PAE Incorporated Class A
PANL,"Pangaea Logistics Solutions, Ltd"
PKE,Park Aerospace Corp
PH,Parker-Hannifin Corporation
PKOH,Park-Ohio Holdings Corp
PATI,"Patriot Transportation Holding, Inc"
PAYX,"Paychex, Inc"
PFMT,Performant Financial Corporation
PESI,"Perma-Fix Environmental Services, Inc"
PFSW,"PFSweb, Inc"
PGTI,"PGT Innovations, Inc"
PPSI,"Pioneer Power Solutions, Inc"
PBI,Pitney Bowes Inc
PLUG,Plug Power Inc
POLA,"Polar Power, Inc"
PLPC,Preformed Line Products Company
PCT,PureCycle Technologies Inc
QUAD,"Quad/Graphics, Inc"
QRHC,Quest Resource Holding Corporation
RADA,RADA Electronic Industries Ltd
RLGT,"Radiant Logistics, Inc"
ROLL,RBC Bearings Incorporated
RCMT,"RCM Technologies, Inc"
RRX,Regal Rexnord Corp
RCII,"Rent-A-Center, Inc"
REZI,"Resideo Technologies, Inc"
REVG,"REV Group, Inc"
RBA,Ritchie Bros. Auctioneers Incorporated
RHI,Robert Half International Inc
RKLB,Rocket Lab USA Inc
ROK,"Rockwell Automation, Inc"
ROP,"Roper Technologies, Inc"
RYAAY,Ryanair Holdings plc
R,"Ryder System, Inc"
RYI,Ryerson Holding Corporation
SB,"Safe Bulkers, Inc"
SAIA,"Saia, Inc"
SEB,Seaboard Corporation
SMED,Sharps Compliance Corp
PIXY,"ShiftPixy, Inc"
SHYF,Shyft Group Inc.
SIDU,Sidus Space Inc - Class A
SIF,"SIFCO Industries, Inc"
SKYW,"SkyWest, Inc"
SWBI,Smith & Wesson Brands Inc.
SLDP,Solid Power Inc - Class A
LUV,Southwest Airlines Co
SPIR,Spire Global Inc - Class A
SAVE,"Spirit Airlines, Inc"
SPXC,SPX Corporation
SXI,Standex International Corporation
SWK,"Stanley Black & Decker, Inc"
SBLK,Star Bulk Carriers Corp
SRT,"StarTek, Inc"
GASS,StealthGas Inc
SCS,Steelcase Inc
SRCL,"Stericycle, Inc"
RGR,"Sturm, Ruger & Company, Inc"
SNCY,Sun Country Airlines Holdings Inc
TATT,TAT Technologies Ltd
TDCX,TDCX Inc - ADR
TRC,Tejon Ranch Co
TEX,Terex Corporation
TTEK,"Tetra Tech, Inc"
TGH,Textainer Group Holdings Limited
TXT,Textron Inc
TFII,TFI International Inc.
BA,The Boeing Company
BCO,The Brink's Company
GRC,The Gorman-Rupp Company
GBX,"The Greenbrier Companies, Inc"
SCX,The L.S. Starrett Company
MTW,"The Manitowoc Company, Inc"
THR,"Thermon Group Holdings, Inc"
TTC,The Toro Company
TRI,Thomson Reuters Corporation
TWI,"Titan International, Inc"
TOMZ,TOMI Environmental Solutions Inc.
TOPS,Top Ships Inc
TBLT,"ToughBuilt Industries, Inc"
TPIC,"TPI Composites, Inc"
TT,Trane Technologies plc
TRNS,"Transcat, Inc"
TDG,TransDigm Group Incorporated
TRU,TransUnion
TG,Tredegar Corporation
TREX,"Trex Company, Inc"
TRS,TriMas Corporation
TRN,"Trinity Industries, Inc"
TRTN,Triton International Limited
TGI,"Triumph Group, Inc"
TBI,"TrueBlue, Inc"
TSP,TuSimple Holdings Inc - Class A
TPC,Tutor Perini Corporation
TWIN,"Twin Disc, Incorporated"
ULBI,Ultralife Corporation
UNF,UniFirst Corporation
UNP,Union Pacific Corporation
UAL,"United Airlines Holdings, Inc"
UPS,"United Parcel Service, Inc"
URI,"United Rentals, Inc"
ULH,"Universal Logistics Holdings, Inc"
UPWK,Upwork Inc
UGRO,Urban-gro Inc
USAK,"USA Truck, Inc"
USDP,USD Partners LP
USX,"U.S. Xpress Enterprises, Inc"
VMI,"Valmont Industries, Inc"
VRSK,"Verisk Analytics, Inc"
VRTV,Veritiv Corporation
VRRM,Verra Mobility Corporation
EVTL,Vertical Aerospace Ltd
VRT,Vertiv Holdings LLC Class A
VIEW,View Inc. - Class A
SPCE,Virgin Galactic Holdings Inc
VTSI,"VirTra, Inc"
VVNT,Vivint Smart Home Inc Class A
VSEC,VSE Corporation
WAB,Wabtec Corporation
WBT,"Welbilt, Inc"
WCC,"WESCO International, Inc"
UP,Wheels Up Experience Inc - Class A
WWD,"Woodward, Inc"
XOS,Xos Inc
XPO,"XPO Logistics, Inc"
XYL,Xylem Inc
YELL,Yellow Corporation
ZIM,Zim Integrated Shipping Services Ltd
ZIP,ZipRecruiter Inc - Class A
ZTO,ZTO Express (Cayman) Inc
